题目,选项A,选项B,选项C,正确答案,解析
【第30题】《中华人民共和国陆地国界法》规定，国家坚持____的方针，加强陆地国界防卫。,防御为主,和平发展,安边固防、强边富民,C,坚持安边固防、强边富民的方针。
【第1题】新时代党的民族工作的主线是？,民族区域自治,铸牢中华民族共同体意识,各民族共同繁荣,B,习近平总书记强调，必须把铸牢中华民族共同体意识作为新时代党的民族工作的主线。
【第2题】“三个离不开”思想是指汉族离不开少数民族，少数民族离不开汉族，以及____。,各少数民族之间也相互离不开,民族地区离不开发达地区,信教群众离不开不信教群众,A,“三个离不开”：汉族离不开少数民族，少数民族离不开汉族，各少数民族之间也相互离不开。
【第3题】铸牢中华民族共同体意识，要引导各族群众牢固树立的“五个认同”包括认同伟大祖国、认同中华民族、认同中华文化、认同中国共产党、以及认同____。,中国特色社会主义,中华优秀传统文化,社会主义核心价值观,A,五个认同是对伟大祖国、中华民族、中华文化、中国共产党、中国特色社会主义的认同。
【第4题】处理我国民族关系的基本原则是____。,民族平等、民族团结、各民族共同繁荣,民族自治、区域发展,少数民族优先发展,A,民族平等、民族团结和各民族共同繁荣是我国处理民族关系的基本原则。
【第5题】我国解决民族问题的基本政治制度是____。,人民代表大会制度,基层群众自治制度,民族区域自治制度,C,民族区域自治制度是我国的一项基本政治制度。
【第6题】习近平总书记比喻各民族要像____一样紧紧抱在一起。,向日葵籽,石榴籽,麻花,B,总书记多次强调，各民族要像石榴籽一样紧紧抱在一起。
【第7题】在民族地区开展工作，必须坚持把____作为文化建设的重中之重。,弘扬少数民族服饰,全面推广普及国家通用语言文字,保留所有原生态习俗,B,全面推广普及国家通用语言文字是铸牢中华民族共同体意识的重要途径。
【第8题】中华文化是各民族文化的____。,集大成者,相互替代物,完全隔离体,A,各民族优秀传统文化都是中华文化的组成部分，中华文化是主干，各民族文化是枝叶。
【第9题】反对两种民族主义，既要反对大汉族主义，也要反对____。,地方民族主义,国际主义,狭隘民族主义,A,我国一贯坚持既反对大汉族主义，也反对地方民族主义。
【第10题】“四个共同”是指中华民族共同开拓了辽阔疆域、共同书写了悠久历史、共同创造了灿烂文化、共同____。,培育了伟大精神,抵御了外来侵略,建设了现代化,A,各民族共同开拓了辽阔疆域，共同书写了悠久历史，共同创造了灿烂文化，共同培育了伟大精神。
【第11题】新时代党的民族工作的主线是？,民族区域自治,铸牢中华民族共同体意识,各民族共同繁荣,B,习近平总书记强调，必须把铸牢中华民族共同体意识作为新时代党的民族工作的主线。
【第12题】“三个离不开”思想是指汉族离不开少数民族，少数民族离不开汉族，以及____。,各少数民族之间也相互离不开,民族地区离不开发达地区,信教群众离不开不信教群众,A,“三个离不开”：汉族离不开少数民族，少数民族离不开汉族，各少数民族之间也相互离不开。
【第13题】铸牢中华民族共同体意识，要引导各族群众牢固树立的“五个认同”包括认同伟大祖国、认同中华民族、认同中华文化、认同中国共产党、以及认同____。,中国特色社会主义,中华优秀传统文化,社会主义核心价值观,A,五个认同是对伟大祖国、中华民族、中华文化、中国共产党、中国特色社会主义的认同。
【第14题】处理我国民族关系的基本原则是____。,民族平等、民族团结、各民族共同繁荣,民族自治、区域发展,少数民族优先发展,A,民族平等、民族团结和各民族共同繁荣是我国处理民族关系的基本原则。
【第15题】我国解决民族问题的基本政治制度是____。,人民代表大会制度,基层群众自治制度,民族区域自治制度,C,民族区域自治制度是我国的一项基本政治制度。
【第16题】习近平总书记比喻各民族要像____一样紧紧抱在一起。,向日葵籽,石榴籽,麻花,B,总书记多次强调，各民族要像石榴籽一样紧紧抱在一起。
【第17题】在民族地区开展工作，必须坚持把____作为文化建设的重中之重。,弘扬少数民族服饰,全面推广普及国家通用语言文字,保留所有原生态习俗,B,全面推广普及国家通用语言文字是铸牢中华民族共同体意识的重要途径。
【第18题】中华文化是各民族文化的____。,集大成者,相互替代物,完全隔离体,A,各民族优秀传统文化都是中华文化的组成部分，中华文化是主干，各民族文化是枝叶。
【第19题】反对两种民族主义，既要反对大汉族主义，也要反对____。,地方民族主义,国际主义,狭隘民族主义,A,我国一贯坚持既反对大汉族主义，也反对地方民族主义。
【第20题】“四个共同”是指中华民族共同开拓了辽阔疆域、共同书写了悠久历史、共同创造了灿烂文化、共同____。,培育了伟大精神,抵御了外来侵略,建设了现代化,A,各民族共同开拓了辽阔疆域，共同书写了悠久历史，共同创造了灿烂文化，共同培育了伟大精神。
【第21题】新时代党的民族工作的主线是？,民族区域自治,铸牢中华民族共同体意识,各民族共同繁荣,B,习近平总书记强调，必须把铸牢中华民族共同体意识作为新时代党的民族工作的主线。
【第22题】“三个离不开”思想是指汉族离不开少数民族，少数民族离不开汉族，以及____。,各少数民族之间也相互离不开,民族地区离不开发达地区,信教群众离不开不信教群众,A,“三个离不开”：汉族离不开少数民族，少数民族离不开汉族，各少数民族之间也相互离不开。
【第23题】铸牢中华民族共同体意识，要引导各族群众牢固树立的“五个认同”包括认同伟大祖国、认同中华民族、认同中华文化、认同中国共产党、以及认同____。,中国特色社会主义,中华优秀传统文化,社会主义核心价值观,A,五个认同是对伟大祖国、中华民族、中华文化、中国共产党、中国特色社会主义的认同。
【第24题】处理我国民族关系的基本原则是____。,民族平等、民族团结、各民族共同繁荣,民族自治、区域发展,少数民族优先发展,A,民族平等、民族团结和各民族共同繁荣是我国处理民族关系的基本原则。
【第25题】我国解决民族问题的基本政治制度是____。,人民代表大会制度,基层群众自治制度,民族区域自治制度,C,民族区域自治制度是我国的一项基本政治制度。
【第26题】习近平总书记比喻各民族要像____一样紧紧抱在一起。,向日葵籽,石榴籽,麻花,B,总书记多次强调，各民族要像石榴籽一样紧紧抱在一起。
【第27题】在民族地区开展工作，必须坚持把____作为文化建设的重中之重。,弘扬少数民族服饰,全面推广普及国家通用语言文字,保留所有原生态习俗,B,全面推广普及国家通用语言文字是铸牢中华民族共同体意识的重要途径。
【第28题】中华文化是各民族文化的____。,集大成者,相互替代物,完全隔离体,A,各民族优秀传统文化都是中华文化的组成部分，中华文化是主干，各民族文化是枝叶。
【第29题】反对两种民族主义，既要反对大汉族主义，也要反对____。,地方民族主义,国际主义,狭隘民族主义,A,我国一贯坚持既反对大汉族主义，也反对地方民族主义。
【第30题】“四个共同”是指中华民族共同开拓了辽阔疆域、共同书写了悠久历史、共同创造了灿烂文化、共同____。,培育了伟大精神,抵御了外来侵略,建设了现代化,A,各民族共同开拓了辽阔疆域，共同书写了悠久历史，共同创造了灿烂文化，共同培育了伟大精神。
【第1题】全民国防教育的根本目的是____。,提高全民军事技能,增强全民国防观念，掌握基本国防知识,全面实行军事化管理,B,全民国防教育旨在增强国防观念，掌握基本的国防知识，发扬爱国主义精神。
【第2题】我国法定的“全民国防教育日”是每年的____。,9月18日,9月的第三个星期六,10月1日,B,《中华人民共和国国防教育法》规定，每年9月的第三个星期六为全民国防教育日。
【第3题】《中华人民共和国国防法》规定，保卫祖国、抵抗侵略是中华人民共和国每一个公民的____。,神圣职责,可选义务,职业选择,A,保卫祖国、抵抗侵略是每一个公民的神圣职责。
【第4题】现代国防不仅包括军事防御，还包括____等多个方面。,政治、经济、科技、文化,仅限于边境巡逻,仅限于武器研发,A,现代国防是综合国力的较量，涵盖政治、经济、科技、文化等全方位。
【第5题】“居安思危，思则有备，有备无患”在国防教育中强调的是____。,忧患意识,发展意识,竞争意识,A,和平时期必须保持强烈的忧患意识，防止麻痹大意。
【第6题】新时代我国国防和军队建设的根本原则是____。,军民融合,党对军队的绝对领导,科技强军,B,坚持党对人民军队的绝对领导，是建军之本、强军之魂。
【第7题】以下哪项属于大学生的国防义务？,依法服兵役和参加民兵组织,必须参加特种部队选拔,自行购买武器装备,A,依法服兵役和参加民兵组织是适龄青年的法定国防义务。
【第8题】大学生军训的主要法律依据是____。,《高等教育法》,《兵役法》和《国防教育法》,《教育法》,B,学生军事训练主要依照《中华人民共和国兵役法》和《中华人民共和国国防教育法》开展。
【第9题】“军民融合发展”战略的核心目的是什么？,让军队接管地方经济,实现富国和强军相统一,让地方企业制造所有武器,B,军民融合发展的核心是把国防和军队现代化建设深深融入经济社会发展体系之中，实现富国与强军的统一。
【第10题】在网络时代，青年志愿者在涉军信息发布上应遵守什么纪律？,随意拍摄营区照片并上传分享,严守国家军事秘密，不泄露涉军敏感信息,只要不收费就可以发布,B,必须严守军事机密，坚决做到“涉密不上网、上网不涉密”。
【第11题】全民国防教育的根本目的是____。,提高全民军事技能,增强全民国防观念，掌握基本国防知识,全面实行军事化管理,B,全民国防教育旨在增强国防观念，掌握基本的国防知识，发扬爱国主义精神。
【第12题】我国法定的“全民国防教育日”是每年的____。,9月18日,9月的第三个星期六,10月1日,B,《中华人民共和国国防教育法》规定，每年9月的第三个星期六为全民国防教育日。
【第13题】《中华人民共和国国防法》规定，保卫祖国、抵抗侵略是中华人民共和国每一个公民的____。,神圣职责,可选义务,职业选择,A,保卫祖国、抵抗侵略是每一个公民的神圣职责。
【第14题】现代国防不仅包括军事防御，还包括____等多个方面。,政治、经济、科技、文化,仅限于边境巡逻,仅限于武器研发,A,现代国防是综合国力的较量，涵盖政治、经济、科技、文化等全方位。
【第15题】“居安思危，思则有备，有备无患”在国防教育中强调的是____。,忧患意识,发展意识,竞争意识,A,和平时期必须保持强烈的忧患意识，防止麻痹大意。
【第16题】新时代我国国防和军队建设的根本原则是____。,军民融合,党对军队的绝对领导,科技强军,B,坚持党对人民军队的绝对领导，是建军之本、强军之魂。
【第17题】以下哪项属于大学生的国防义务？,依法服兵役和参加民兵组织,必须参加特种部队选拔,自行购买武器装备,A,依法服兵役和参加民兵组织是适龄青年的法定国防义务。
【第18题】大学生军训的主要法律依据是____。,《高等教育法》,《兵役法》和《国防教育法》,《教育法》,B,学生军事训练主要依照《中华人民共和国兵役法》和《中华人民共和国国防教育法》开展。
【第19题】“军民融合发展”战略的核心目的是什么？,让军队接管地方经济,实现富国和强军相统一,让地方企业制造所有武器,B,军民融合发展的核心是把国防和军队现代化建设深深融入经济社会发展体系之中，实现富国与强军的统一。
【第20题】在网络时代，青年志愿者在涉军信息发布上应遵守什么纪律？,随意拍摄营区照片并上传分享,严守国家军事秘密，不泄露涉军敏感信息,只要不收费就可以发布,B,必须严守军事机密，坚决做到“涉密不上网、上网不涉密”。
【第21题】全民国防教育的根本目的是____。,提高全民军事技能,增强全民国防观念，掌握基本国防知识,全面实行军事化管理,B,全民国防教育旨在增强国防观念，掌握基本的国防知识，发扬爱国主义精神。
【第22题】我国法定的“全民国防教育日”是每年的____。,9月18日,9月的第三个星期六,10月1日,B,《中华人民共和国国防教育法》规定，每年9月的第三个星期六为全民国防教育日。
【第23题】《中华人民共和国国防法》规定，保卫祖国、抵抗侵略是中华人民共和国每一个公民的____。,神圣职责,可选义务,职业选择,A,保卫祖国、抵抗侵略是每一个公民的神圣职责。
【第24题】现代国防不仅包括军事防御，还包括____等多个方面。,政治、经济、科技、文化,仅限于边境巡逻,仅限于武器研发,A,现代国防是综合国力的较量，涵盖政治、经济、科技、文化等全方位。
【第25题】“居安思危，思则有备，有备无患”在国防教育中强调的是____。,忧患意识,发展意识,竞争意识,A,和平时期必须保持强烈的忧患意识，防止麻痹大意。
【第26题】新时代我国国防和军队建设的根本原则是____。,军民融合,党对军队的绝对领导,科技强军,B,坚持党对人民军队的绝对领导，是建军之本、强军之魂。
【第27题】以下哪项属于大学生的国防义务？,依法服兵役和参加民兵组织,必须参加特种部队选拔,自行购买武器装备,A,依法服兵役和参加民兵组织是适龄青年的法定国防义务。
【第28题】大学生军训的主要法律依据是____。,《高等教育法》,《兵役法》和《国防教育法》,《教育法》,B,学生军事训练主要依照《中华人民共和国兵役法》和《中华人民共和国国防教育法》开展。
【第29题】“军民融合发展”战略的核心目的是什么？,让军队接管地方经济,实现富国和强军相统一,让地方企业制造所有武器,B,军民融合发展的核心是把国防和军队现代化建设深深融入经济社会发展体系之中，实现富国与强军的统一。
【第30题】在网络时代，青年志愿者在涉军信息发布上应遵守什么纪律？,随意拍摄营区照片并上传分享,严守国家军事秘密，不泄露涉军敏感信息,只要不收费就可以发布,B,必须严守军事机密，坚决做到“涉密不上网、上网不涉密”。
【第1题】国家秘密的密级分为____、机密、秘密三级。,绝密,极密,特密,A,国家秘密的密级分为绝密、机密、秘密三级。
【第2题】处理涉密信息的计算机及网络必须与互联网实行____。,逻辑隔离,物理隔离,防火墙隔离,B,涉密计算机及其网络必须与互联网及其他公共信息网络实行物理隔离。
【第3题】保密工作的基本方针是：积极防范、突出重点、____。,全面管控,依法管理,严厉打击,B,保密工作方针：积极防范、突出重点、依法管理。
【第4题】志愿者在西部服务期间，接触到当地政府未公开的文件，正确的做法是？,拍照发朋友圈炫耀,严格保密，不得向无关人员泄露,与亲友私下讨论,B,必须严格遵守保密规定，未公开的文件和内部资料绝对不能外泄。
【第5题】“涉密不上网，上网不涉密”中的“网”主要指的是？,公安内网,互联网,政务外网,B,主要指严禁在互联网及其他公共信息网络中存储、处理、传输涉密信息。
【第6题】如果在微信群中看到他人发布涉密文件，应当怎么做？,转发给其他人核实,立即制止，并向有关保密部门或公安机关报告,下载保存备用,B,应立即提醒撤回/制止，并向保密行政管理部门或公安、国安部门报告。
【第7题】使用手机图文识别（OCR）小程序扫描内部文件，存在什么风险？,没有风险,会导致内部信息上传至第三方服务器，造成泄密,可以提高工作效率，提倡使用,B,第三方小程序会将数据上传至云端服务器，极易造成内部资料和机密泄露。
【第8题】丢弃含有涉密或敏感工作信息的废旧草稿纸，正确的处理方式是？,直接扔进垃圾桶,当废品卖掉,使用碎纸机粉碎销毁,C,涉密载体（含草稿）必须按规定通过碎纸机粉碎等安全方式销毁。
【第9题】《中华人民共和国保守国家秘密法》规定，一切国家机关、武装力量、政党、社会团体、企业事业单位和公民都有____的义务。,查处泄密案件,保守国家秘密,制定保密制度,B,保守国家秘密是每个公民的法定义务。
【第10题】志愿者离开服务岗位时，对持有的涉密载体应当如何处理？,作为纪念品带走,全部清退、移交并办理登记手续,自行销毁,B,离岗离职时，必须将所有涉密载体全部清退移交，不得私自带走或销毁。
【第11题】国家秘密的密级分为____、机密、秘密三级。,绝密,极密,特密,A,国家秘密的密级分为绝密、机密、秘密三级。
【第12题】处理涉密信息的计算机及网络必须与互联网实行____。,逻辑隔离,物理隔离,防火墙隔离,B,涉密计算机及其网络必须与互联网及其他公共信息网络实行物理隔离。
【第13题】保密工作的基本方针是：积极防范、突出重点、____。,全面管控,依法管理,严厉打击,B,保密工作方针：积极防范、突出重点、依法管理。
【第14题】志愿者在西部服务期间，接触到当地政府未公开的文件，正确的做法是？,拍照发朋友圈炫耀,严格保密，不得向无关人员泄露,与亲友私下讨论,B,必须严格遵守保密规定，未公开的文件和内部资料绝对不能外泄。
【第15题】“涉密不上网，上网不涉密”中的“网”主要指的是？,公安内网,互联网,政务外网,B,主要指严禁在互联网及其他公共信息网络中存储、处理、传输涉密信息。
【第16题】如果在微信群中看到他人发布涉密文件，应当怎么做？,转发给其他人核实,立即制止，并向有关保密部门或公安机关报告,下载保存备用,B,应立即提醒撤回/制止，并向保密行政管理部门或公安、国安部门报告。
【第17题】使用手机图文识别（OCR）小程序扫描内部文件，存在什么风险？,没有风险,会导致内部信息上传至第三方服务器，造成泄密,可以提高工作效率，提倡使用,B,第三方小程序会将数据上传至云端服务器，极易造成内部资料和机密泄露。
【第18题】丢弃含有涉密或敏感工作信息的废旧草稿纸，正确的处理方式是？,直接扔进垃圾桶,当废品卖掉,使用碎纸机粉碎销毁,C,涉密载体（含草稿）必须按规定通过碎纸机粉碎等安全方式销毁。
【第19题】《中华人民共和国保守国家秘密法》规定，一切国家机关、武装力量、政党、社会团体、企业事业单位和公民都有____的义务。,查处泄密案件,保守国家秘密,制定保密制度,B,保守国家秘密是每个公民的法定义务。
【第20题】志愿者离开服务岗位时，对持有的涉密载体应当如何处理？,作为纪念品带走,全部清退、移交并办理登记手续,自行销毁,B,离岗离职时，必须将所有涉密载体全部清退移交，不得私自带走或销毁。
【第21题】国家秘密的密级分为____、机密、秘密三级。,绝密,极密,特密,A,国家秘密的密级分为绝密、机密、秘密三级。
【第22题】处理涉密信息的计算机及网络必须与互联网实行____。,逻辑隔离,物理隔离,防火墙隔离,B,涉密计算机及其网络必须与互联网及其他公共信息网络实行物理隔离。
【第23题】保密工作的基本方针是：积极防范、突出重点、____。,全面管控,依法管理,严厉打击,B,保密工作方针：积极防范、突出重点、依法管理。
【第24题】志愿者在西部服务期间，接触到当地政府未公开的文件，正确的做法是？,拍照发朋友圈炫耀,严格保密，不得向无关人员泄露,与亲友私下讨论,B,必须严格遵守保密规定，未公开的文件和内部资料绝对不能外泄。
【第25题】“涉密不上网，上网不涉密”中的“网”主要指的是？,公安内网,互联网,政务外网,B,主要指严禁在互联网及其他公共信息网络中存储、处理、传输涉密信息。
【第26题】如果在微信群中看到他人发布涉密文件，应当怎么做？,转发给其他人核实,立即制止，并向有关保密部门或公安机关报告,下载保存备用,B,应立即提醒撤回/制止，并向保密行政管理部门或公安、国安部门报告。
【第27题】使用手机图文识别（OCR）小程序扫描内部文件，存在什么风险？,没有风险,会导致内部信息上传至第三方服务器，造成泄密,可以提高工作效率，提倡使用,B,第三方小程序会将数据上传至云端服务器，极易造成内部资料和机密泄露。
【第28题】丢弃含有涉密或敏感工作信息的废旧草稿纸，正确的处理方式是？,直接扔进垃圾桶,当废品卖掉,使用碎纸机粉碎销毁,C,涉密载体（含草稿）必须按规定通过碎纸机粉碎等安全方式销毁。
【第29题】《中华人民共和国保守国家秘密法》规定，一切国家机关、武装力量、政党、社会团体、企业事业单位和公民都有____的义务。,查处泄密案件,保守国家秘密,制定保密制度,B,保守国家秘密是每个公民的法定义务。
【第30题】志愿者离开服务岗位时，对持有的涉密载体应当如何处理？,作为纪念品带走,全部清退、移交并办理登记手续,自行销毁,B,离岗离职时，必须将所有涉密载体全部清退移交，不得私自带走或销毁。
【第1题】在西部高原高寒地区服务，为预防“高原反应”，初到时应避免____。,剧烈运动,多喝水,注意保暖,A,初入高原应避免剧烈运动，以防加重高原反应。
【第2题】在基层乡镇乘坐交通工具时，志愿者必须坚决拒绝乘坐____。,正规客运班车,无牌无证、超载及农用三轮车,公交车,B,严禁乘坐非法营运、无牌无证、超载及不具备载客条件的农用车、三轮车。
【第3题】突发地震时，如果在室内，正确的避险做法是？,迅速跳楼逃生,躲在坚固的家具旁或卫生间等小跨度空间，保护头部,马上乘坐电梯下楼,B,应就近躲避在坚固家具旁或卫生间等小开间区域，震后迅速撤离。跳楼和乘电梯极其危险。
【第4题】宿舍发生火灾且火势和浓烟封锁了逃生通道，应该____。,用湿毛巾捂住口鼻强行冲出去,退回房间，用湿毛巾、衣物堵住门缝，在窗边呼救等待救援,躲在床底下,B,通道被浓烟封锁时，应退回室内固守待援，并做好防烟措施。
【第5题】遇到电信网络诈骗，防范的核心原则是？,相信“内部人员”的指示,做到“不听、不信、不转账”,为了证明清白可以先转一点钱,B,防范电信诈骗要做到不轻信、不透露、不转账，遇到可疑情况及时报警。
【第6题】在户外开展志愿服务突遇雷雨天气，以下做法错误的是？,远离高耸的大树和金属电线杆,赶紧跑到大树下避雨,双脚并拢蹲下，降低身体高度,B,雷雨天绝对不能在大树下避雨，容易遭到雷击。
【第7题】基层工作压力大，当志愿者感到长期焦虑、情绪低落时，最佳做法是？,一个人闷在心里硬扛,向项目办反映，寻求专业心理咨询和倾诉支持,借酒消愁,B,关注心理健康，遇到情绪困扰应主动寻求组织支持或专业心理疏导。
【第8题】发生煤气（一氧化碳）中毒时，首要的急救措施是？,立刻打开电器照明查看情况,迅速打开门窗通风，并将患者转移到空气新鲜处,给患者灌醋,B,首要措施是切断气源，开窗通风，转移患者。千万不能触碰电器开关以免引发爆炸。
【第9题】西部某些偏远地区可能有野生动物出没，野外行走应____。,结伴而行，不走未经开发的小路,独自探险以体验刺激,主动靠近投喂野生动物,A,应增强防范意识，结伴而行，远离危险区域。
【第10题】志愿者在驻地使用电暖器等大功率电器时，必须做到____。,人走不断电，保持室内温暖,人走断电，严禁在电暖器上烘烤衣物,与其他大功率电器共用一个排插,B,冬季取暖必须注意消防安全，人走断电，防止引发火灾。
【第11题】在西部高原高寒地区服务，为预防“高原反应”，初到时应避免____。,剧烈运动,多喝水,注意保暖,A,初入高原应避免剧烈运动，以防加重高原反应。
【第12题】在基层乡镇乘坐交通工具时，志愿者必须坚决拒绝乘坐____。,正规客运班车,无牌无证、超载及农用三轮车,公交车,B,严禁乘坐非法营运、无牌无证、超载及不具备载客条件的农用车、三轮车。
【第13题】突发地震时，如果在室内，正确的避险做法是？,迅速跳楼逃生,躲在坚固的家具旁或卫生间等小跨度空间，保护头部,马上乘坐电梯下楼,B,应就近躲避在坚固家具旁或卫生间等小开间区域，震后迅速撤离。跳楼和乘电梯极其危险。
【第14题】宿舍发生火灾且火势和浓烟封锁了逃生通道，应该____。,用湿毛巾捂住口鼻强行冲出去,退回房间，用湿毛巾、衣物堵住门缝，在窗边呼救等待救援,躲在床底下,B,通道被浓烟封锁时，应退回室内固守待援，并做好防烟措施。
【第15题】遇到电信网络诈骗，防范的核心原则是？,相信“内部人员”的指示,做到“不听、不信、不转账”,为了证明清白可以先转一点钱,B,防范电信诈骗要做到不轻信、不透露、不转账，遇到可疑情况及时报警。
【第16题】在户外开展志愿服务突遇雷雨天气，以下做法错误的是？,远离高耸的大树和金属电线杆,赶紧跑到大树下避雨,双脚并拢蹲下，降低身体高度,B,雷雨天绝对不能在大树下避雨，容易遭到雷击。
【第17题】基层工作压力大，当志愿者感到长期焦虑、情绪低落时，最佳做法是？,一个人闷在心里硬扛,向项目办反映，寻求专业心理咨询和倾诉支持,借酒消愁,B,关注心理健康，遇到情绪困扰应主动寻求组织支持或专业心理疏导。
【第18题】发生煤气（一氧化碳）中毒时，首要的急救措施是？,立刻打开电器照明查看情况,迅速打开门窗通风，并将患者转移到空气新鲜处,给患者灌醋,B,首要措施是切断气源，开窗通风，转移患者。千万不能触碰电器开关以免引发爆炸。
【第19题】西部某些偏远地区可能有野生动物出没，野外行走应____。,结伴而行，不走未经开发的小路,独自探险以体验刺激,主动靠近投喂野生动物,A,应增强防范意识，结伴而行，远离危险区域。
【第20题】志愿者在驻地使用电暖器等大功率电器时，必须做到____。,人走不断电，保持室内温暖,人走断电，严禁在电暖器上烘烤衣物,与其他大功率电器共用一个排插,B,冬季取暖必须注意消防安全，人走断电，防止引发火灾。
【第21题】在西部高原高寒地区服务，为预防“高原反应”，初到时应避免____。,剧烈运动,多喝水,注意保暖,A,初入高原应避免剧烈运动，以防加重高原反应。
【第22题】在基层乡镇乘坐交通工具时，志愿者必须坚决拒绝乘坐____。,正规客运班车,无牌无证、超载及农用三轮车,公交车,B,严禁乘坐非法营运、无牌无证、超载及不具备载客条件的农用车、三轮车。
【第23题】突发地震时，如果在室内，正确的避险做法是？,迅速跳楼逃生,躲在坚固的家具旁或卫生间等小跨度空间，保护头部,马上乘坐电梯下楼,B,应就近躲避在坚固家具旁或卫生间等小开间区域，震后迅速撤离。跳楼和乘电梯极其危险。
【第24题】宿舍发生火灾且火势和浓烟封锁了逃生通道，应该____。,用湿毛巾捂住口鼻强行冲出去,退回房间，用湿毛巾、衣物堵住门缝，在窗边呼救等待救援,躲在床底下,B,通道被浓烟封锁时，应退回室内固守待援，并做好防烟措施。
【第25题】遇到电信网络诈骗，防范的核心原则是？,相信“内部人员”的指示,做到“不听、不信、不转账”,为了证明清白可以先转一点钱,B,防范电信诈骗要做到不轻信、不透露、不转账，遇到可疑情况及时报警。
【第26题】在户外开展志愿服务突遇雷雨天气，以下做法错误的是？,远离高耸的大树和金属电线杆,赶紧跑到大树下避雨,双脚并拢蹲下，降低身体高度,B,雷雨天绝对不能在大树下避雨，容易遭到雷击。
【第27题】基层工作压力大，当志愿者感到长期焦虑、情绪低落时，最佳做法是？,一个人闷在心里硬扛,向项目办反映，寻求专业心理咨询和倾诉支持,借酒消愁,B,关注心理健康，遇到情绪困扰应主动寻求组织支持或专业心理疏导。
【第28题】发生煤气（一氧化碳）中毒时，首要的急救措施是？,立刻打开电器照明查看情况,迅速打开门窗通风，并将患者转移到空气新鲜处,给患者灌醋,B,首要措施是切断气源，开窗通风，转移患者。千万不能触碰电器开关以免引发爆炸。
【第29题】西部某些偏远地区可能有野生动物出没，野外行走应____。,结伴而行，不走未经开发的小路,独自探险以体验刺激,主动靠近投喂野生动物,A,应增强防范意识，结伴而行，远离危险区域。
【第30题】志愿者在驻地使用电暖器等大功率电器时，必须做到____。,人走不断电，保持室内温暖,人走断电，严禁在电暖器上烘烤衣物,与其他大功率电器共用一个排插,B,冬季取暖必须注意消防安全，人走断电，防止引发火灾。
